iter	Passed	Remaining
787	17717	4766
788	17735	4742
789	17752	4718
790	17774	4696
791	17795	4673
792	17814	4650
793	17834	4627
794	17855	4604
795	17875	4581
796	17894	4557
797	17912	4534
798	17930	4510
799	17949	4487
800	17967	4463
801	17985	4440
802	18003	4416
803	18021	4393
804	18082	4380
805	18127	4363
806	18148	4340
807	18168	4317
808	18190	4294
809	18208	4271
810	18228	4248
811	18246	4224
812	18265	4201
813	18283	4177
814	18301	4154
815	18319	4130
816	18337	4107
817	18356	4084
818	18376	4061
819	18396	4038
820	18418	4015
821	18440	3993
822	18465	3971
823	18487	3948
824	18508	3926
825	18529	3903
826	18547	3879
827	18567	3856
828	18594	3835
829	18616	3813
830	18637	3790
831	18660	3767
832	18683	3745
833	18710	3724
834	18732	3701
835	18752	3678
836	18776	3656
837	18795	3633
838	18815	3610
839	18845	3589
840	18872	3568
841	18895	3545
842	18919	3523
843	18941	3500
844	18962	3478
845	18984	3455
846	19007	3433
847	19031	3411
848	19053	3388
849	19074	3366
850	19096	3343
851	19125	3322
852	19146	3299
853	19169	3277
854	19191	3254
855	19222	3233
856	19248	3211
857	19271	3189
858	19292	3166
859	19315	3144
860	19335	3121
861	19355	3098
862	19375	3075
863	19397	3053
864	19417	3030
865	19439	3007
866	19458	2984
867	19485	2963
868	19511	2941
869	19534	2918
870	19555	2896
871	19582	2874
872	19611	2853
873	19633	2830
874	19662	2808
875	19689	2787
876	19765	2772
877	19813	2753
878	19842	2731
879	19871	2709
880	19893	2687
881	19916	2664
882	19938	2641
883	19968	2620
884	19997	2598
885	20022	2576
886	20044	2553
887	20065	2530
888	20085	2507
889	20103	2484
890	20121	2461
891	20139	2438
892	20162	2415
893	20182	2392
894	20201	2370
895	20229	2348
896	20249	2325
897	20268	2302
898	20289	2279
899	20311	2256
900	20332	2234
901	20353	2211
902	20378	2189
903	20399	2166
904	20424	2143
905	20446	2121
906	20467	2098
907	20491	2076
908	20510	2053
909	20532	2030
910	20556	2008
911	20578	1985
912	20596	1962
913	20616	1939
914	20641	1917
915	20661	1894
916	20680	1871
917	20699	1848
918	20719	1826
919	20742	1803
920	20772	1781
921	20798	1759
922	20824	1737
923	20843	1714
924	20864	1691
925	20891	1669
926	20913	1646
927	20938	1624
928	20961	1602
929	20983	1579
930	21003	1556
931	21028	1534
932	21052	1511
933	21074	1489
934	21095	1466
935	21121	1444
936	21142	1421
937	21167	1399
938	21190	1376
939	21213	1354
940	21235	1331
941	21257	1308
942	21278	1286
943	21305	1263
944	21325	1241
945	21350	1218
946	21373	1196
947	21397	1173
948	21420	1151
949	21440	1128
950	21461	1105
951	21486	1083
952	21508	1060
953	21533	1038
954	21558	1015
955	21585	993
956	21606	970
957	21636	948
958	21657	925
959	21683	903
960	21707	880
961	21734	858
962	21752	835
963	21771	813
964	21797	790
965	21821	768
966	21847	745
967	21868	722
968	21894	700
969	21915	677
970	21938	655
971	21965	632
972	21986	610
973	22010	587
974	22030	564
975	22053	542
976	22076	519
977	22101	497
978	22127	474
979	22148	452
980	22178	429
981	22198	406
982	22233	384
983	22262	361
984	22290	339
985	22316	316
986	22342	294
987	22364	271
988	22389	249
989	22411	226
990	22436	203
991	22457	181
992	22479	158
993	22504	135
994	22528	113
995	22552	90
996	22573	67
997	22599	45
998	22623	22
999	22644	0
