iter	Logloss
0	0.6807181005
1	0.6699762976
2	0.6594971361
3	0.6500192926
4	0.6418503024
5	0.634336597
6	0.6268506195
7	0.620541694
8	0.6142040559
9	0.6083352556
10	0.6027321056
11	0.5982196696
12	0.5934901049
13	0.5897390852
14	0.5857338158
15	0.5822516256
16	0.5786181552
17	0.5753455271
18	0.5723451129
19	0.5695446961
20	0.5669605609
21	0.5645480904
22	0.5624684114
23	0.5606171523
24	0.5584515208
25	0.5566039073
26	0.5548968938
27	0.5524080517
28	0.5505962732
29	0.5492362972
30	0.5478297877
31	0.5464260969
32	0.5448154023
33	0.5432649217
34	0.5419759875
35	0.5406724924
36	0.5393049472
37	0.5375677685
38	0.5359454883
39	0.5350183275
40	0.534283095
41	0.5334879456
42	0.5320830956
43	0.5313129984
44	0.5302193213
45	0.5292966035
46	0.5284316206
47	0.5278689938
48	0.5268033153
49	0.5261773203
50	0.525391077
51	0.5248064181
52	0.5238991804
53	0.5230681577
54	0.5224785751
55	0.5217414131
56	0.5210105885
57	0.5202932119
58	0.5199089353
59	0.5193527899
60	0.5185453775
61	0.5179846292
62	0.5174636481
63	0.5168250399
64	0.5160931988
65	0.5157804216
66	0.515206474
67	0.5149003152
68	0.5143906579
69	0.513954825
70	0.513540032
71	0.5130333267
72	0.5126135298
73	0.5123136298
74	0.5114543848
75	0.5108282502
76	0.5102965587
77	0.5097285912
78	0.508825913
79	0.5082044647
80	0.5078147671
81	0.5071603815
82	0.5065019836
83	0.5062078106
84	0.505691998
85	0.5052365555
86	0.5049497308
87	0.5041372324
88	0.5037445731
89	0.5032686671
90	0.5028748759
91	0.5026096896
92	0.5023643402
93	0.5021203781
94	0.5019295699
95	0.5015010502
96	0.5013025318
97	0.5009361094
98	0.5001352427
99	0.4996797127
100	0.4994170688
101	0.4992324879
102	0.4990139974
103	0.4987947272
104	0.4985861902
105	0.4981320937
106	0.4978344965
107	0.4975983402
108	0.497225339
109	0.4969457182
110	0.4965566946
111	0.4963990882
112	0.4959276195
113	0.4954819675
114	0.4952601492
115	0.4950024249
116	0.494776406
117	0.4946606265
118	0.4942752158
119	0.4940229763
120	0.4937793618
121	0.4935580303
122	0.4930835915
123	0.4925236729
124	0.4923138619
125	0.4920373703
126	0.4918877743
127	0.4916408372
128	0.4914178913
129	0.4912141795
130	0.4907275055
131	0.4903509947
132	0.4900121841
133	0.4896651363
134	0.4891379099
135	0.4889704426
136	0.4881216558
137	0.4877968537
138	0.4875616424
139	0.48731614
140	0.4869757038
141	0.4867685051
142	0.4864848463
143	0.4862733367
144	0.4859694591
145	0.4858079349
146	0.4853642648
147	0.4852437202
148	0.4850798571
149	0.4848095844
150	0.4846656681
151	0.4843694444
152	0.4839828325
153	0.4838540321
154	0.4836861713
155	0.4835843377
156	0.4833316982
157	0.4824302096
158	0.4822557321
159	0.4820870484
160	0.481923471
161	0.4817278292
162	0.4815127744
163	0.4812129555
164	0.4810869786
165	0.4808876793
166	0.4807321092
167	0.4806109748
168	0.4803496413
169	0.4799158462
170	0.479687003
171	0.4793128135
172	0.4791558358
173	0.4789701595
174	0.4787776736
175	0.4784589501
176	0.4781204791
177	0.4779451096
178	0.4777368374
179	0.4776370786
180	0.4771958524
181	0.4769131773
182	0.4767199554
183	0.4766148747
184	0.4762300549
185	0.476107036
186	0.4759215155
187	0.4757997633
188	0.4756373348
189	0.4754963224
190	0.4749556609
191	0.4748046053
192	0.4746044769
193	0.4743977663
194	0.4742719603
195	0.4741357505
196	0.4739451543
197	0.4736325502
198	0.4734683755
199	0.4733711458
200	0.4732587635
201	0.4729666853
202	0.4727973595
203	0.4726504514
204	0.4721404136
205	0.471974055
206	0.47171375
207	0.4716005118
208	0.4711634196
209	0.4709698036
210	0.4708626199
211	0.4706845321
212	0.470509352
213	0.4703304632
214	0.4701967455
215	0.4700368797
216	0.4699187439
217	0.4697701616
218	0.4694898306
219	0.469313699
220	0.468979764
221	0.4685271037
222	0.4684012107
223	0.4679999535
224	0.4677403604
225	0.4676214028
226	0.4675028566
227	0.4671399863
228	0.4669120117
229	0.4668297108
230	0.4667221077
231	0.4665977145
232	0.4664632993
233	0.4663346528
234	0.4662796465
235	0.4662172869
236	0.4661188759
237	0.4660271063
238	0.4653659793
239	0.4652517631
240	0.4650794712
241	0.464969751
242	0.4647788455
243	0.4646464383
244	0.4645411983
245	0.4644487589
246	0.4641724952
247	0.464012335
248	0.4639146272
249	0.46359974
250	0.4634648145
251	0.4633651704
252	0.462838497
253	0.4626740039
254	0.4621557515
255	0.4618834148
256	0.4612470282
